cat_code,category1,category2,category3,category4,std_6,growth_rate_6,std_12,growth_rate_12,std_24,growth_rate_24,std_36,growth_rate_36,analyze_date,
50003308,가구/인테리어,DIY자재/용품,가구부속품,가구바퀴,27.057222846302057,-2.606741268376068,23.13797150580989,0.444038359515069,19.45455483267922,0.36366141806252006,16.742234211213724,0.20147782736166647,2023-07-13,
50003309,가구/인테리어,DIY자재/용품,가구부속품,경첩/꺽쇠/자석철물류,16.538402053548676,-1.2203199384615373,16.47273039083,0.5416105592077184,13.637807368992272,0.27361221017817156,11.804028573231015,0.1435240807004787,2023-07-13,
50003314,가구/인테리어,DIY자재/용품,가구부속품,기타가구부속품,20.654863272232888,-1.969288776068376,16.8639365967907,0.2219399803636986,13.26524692878886,0.19485310290195243,11.38350406952835,0.10287765271609409,2023-07-13,
50003310,가구/인테리어,DIY자재/용품,가구부속품,나사/못,14.705647748037345,-0.09813811623931523,12.73082367965345,0.38705289208571714,10.113510590408259,0.09967470932465591,8.72382059734865,0.059301623856110826,2023-07-13,
50003311,가구/인테리어,DIY자재/용품,가구부속품,로프/철망,20.21824248145839,-0.48752240683760617,17.478414053810738,0.43748290019636343,13.529515143857996,0.1943534341192789,11.39426049734765,0.09226124628976944,2023-07-13,
50003312,가구/인테리어,DIY자재/용품,가구부속품,서랍레일,17.928972569250973,-1.4758418324786322,13.857642008336235,0.1254601037308975,10.693897860167283,0.12306710919662867,9.26272750986031,0.07623148047288651,2023-07-13,
50003313,가구/인테리어,DIY자재/용품,가구부속품,소켓/옷걸이봉,22.475269595202683,-2.016434211965812,16.658589476756003,0.020195992913856528,12.249089922589352,0.09570240856716106,10.19933191166985,0.03234480376475788,2023-07-13,
50001066,가구/인테리어,DIY자재/용품,데코스티커,,18.110295124091778,-1.7072060512820513,14.966486850507149,0.1953876248612657,12.118195335022353,0.06892730779899739,10.666261415713947,-0.004100768677593118,2023-07-13,
50008228,가구/인테리어,DIY자재/용품,리모델링,싱크대,33.10552813671612,-3.6505757846153837,25.003151144610726,-0.06002008110646274,19.038018609356172,0.19685554955723894,16.10590806027617,0.1229069858134641,2023-07-13,
50008208,가구/인테리어,DIY자재/용품,리모델링,욕실/바스,21.40278680487178,-2.0676662598290587,17.838015331052716,0.22825304618799647,13.82074440855425,-0.10986786466446151,12.521125501360926,0.04669369456394986,2023-07-13,
50008188,가구/인테리어,DIY자재/용품,리모델링,중문,18.62216250220005,-1.880220864957264,14.640456663727065,0.024606000597626784,11.874688508968632,0.025162544062733536,12.358550830019423,-0.006217166646563119,2023-07-13,
50008848,가구/인테리어,DIY자재/용품,리모델링,창문/창호/새시,16.97894193924368,-0.7811357641025637,13.93465689216766,0.3102581401007431,11.132652764306712,0.1837312167929159,9.78163221868984,0.08440765774730935,2023-07-13,
50001060,가구/인테리어,DIY자재/용품,목재,,14.087538509319709,-1.0719921264957257,13.52825867844893,0.3468468180653977,10.189719392970295,0.06768099290515328,8.91861172172444,0.038663857944397605,2023-07-13,
50001064,가구/인테리어,DIY자재/용품,몰딩,,14.214398979732659,-1.3768639452991454,12.28709336298015,0.149139612396483,9.907513010736835,-0.030718650805505156,9.838443646619016,-0.057254527556068316,2023-07-13,
50003321,가구/인테리어,DIY자재/용품,바닥재,기타바닥재,15.75169746339158,-1.0857783145299136,12.319339893155263,0.10323196448390734,9.298247887962368,0.007703238610903718,8.243911513480818,-0.011253179229031095,2023-07-13,
50003315,가구/인테리어,DIY자재/용품,바닥재,마루,23.14020376083666,-2.118124724786325,17.722754000838158,0.06550071032186475,14.732136154800584,-0.04535989896511234,12.621622486935046,-0.03432578255440881,2023-07-13,
50003316,가구/인테리어,DIY자재/용품,바닥재,매트류,31.02931386307564,-3.320285282051282,24.50674733101478,0.03728869930846088,19.98254490298697,0.29927014723140943,17.36278179373369,0.19594132381343743,2023-07-13,
50003317,가구/인테리어,DIY자재/용품,바닥재,온돌마루,23.28006660221218,-2.8247763179487175,19.109617318999696,0.1708597430205756,15.943903549778836,-0.035970719300117186,15.837347100807149,-0.12990067773545544,2023-07-13,
50003318,가구/인테리어,DIY자재/용품,바닥재,인조잔디,29.279998973897108,-2.8976563350427353,23.18371435873545,0.02776441133782984,19.110364752240805,0.2958080662007895,16.773662666650146,0.19904002708982,2023-07-13,
50003319,가구/인테리어,DIY자재/용품,바닥재,장판,22.524551854606035,-2.274416663247863,17.791508761938367,0.0972501199521902,12.892048467069838,0.081448597620826,10.663150552593434,0.026420539615305518,2023-07-13,
50003320,가구/인테리어,DIY자재/용품,바닥재,필름난방,28.19974916512189,-2.623192273504273,21.036568641161686,-0.0768684474515494,16.67008260369761,0.10824650602795267,15.231321036013833,0.11265230446808175,2023-07-13,
50001061,가구/인테리어,DIY자재/용품,반제품,,21.304450518585462,-1.4366272512820508,17.259390234263684,0.2690071732263303,13.764811852000555,-0.0406725864717803,12.316222026758862,-0.06878450579254318,2023-07-13,
50003328,가구/인테리어,DIY자재/용품,벽지,기타벽지,19.047604902211454,-1.4226307521367514,14.642653400607001,0.014353124306326598,13.51391426276899,-0.18388811245065573,11.287832537779027,-0.12466261574813114,2023-07-13,
50003327,가구/인테리어,DIY자재/용품,벽지,띠벽지,17.22156560507102,-1.5372394632478623,14.169639349186976,-0.0032644612823355124,11.022777582767535,0.05290545561719864,9.15975817186603,-0.0740460491852507,2023-07-13,
50003325,가구/인테리어,DIY자재/용품,벽지,뮤럴벽지,14.866824623676438,-0.9386542290598283,13.810582022860508,0.26388779603859014,12.3246378730293,-0.059208813986983536,12.80238538333687,-0.10270231711210495,2023-07-13,
50003324,가구/인테리어,DIY자재/용품,벽지,실크벽지,28.122846878295334,-2.9594622324786326,21.898088742800827,-0.003378051310509396,17.455326483163546,0.2239681653152674,14.624389868396328,0.11301326190513825,2023-07-13,
50003326,가구/인테리어,DIY자재/용품,벽지,포인트벽지,32.183689850426696,-3.7839489196581195,24.79280315963564,-0.24694840860582257,20.21709973280788,0.25768991070094954,17.045478957067647,0.13775116588958608,2023-07-13,
50003323,가구/인테리어,DIY자재/용품,벽지,합지벽지,17.700484875729227,-1.341209699145299,13.600831935714078,-0.13532730043541358,10.937412945495685,-0.12753034599381163,14.550715202820317,-0.23303807131229162,2023-07-13,
50001062,가구/인테리어,DIY자재/용품,손잡이,,28.037110013909132,-2.5940005333333325,21.85865361201615,0.23203207162981326,16.263788312734096,0.1665670006934814,13.472120625987786,0.0750490729244046,2023-07-13,
50003691,가구/인테리어,DIY자재/용품,시트지,단색시트지,15.17131736894814,-1.2386591418803405,18.552526488291758,0.7248675783317686,14.693033858449981,0.2634767673637043,14.583987074385574,-0.028017544767745213,2023-07-13,
50003690,가구/인테리어,DIY자재/용품,시트지,무늬목시트지,14.913331750982639,-1.2108882119658109,11.564529185610784,-0.04820406300691485,9.107306254452785,0.05359014339059026,10.99910824665098,-0.09715125240631561,2023-07-13,
50003694,가구/인테리어,DIY자재/용품,시트지,뮤럴시트지,11.554239986909957,0.2873378564102582,16.77848882589987,-0.48018519422863437,12.685029358671866,-0.10074354672996869,13.400286895578276,-0.13288377804997575,2023-07-13,
50003693,가구/인테리어,DIY자재/용품,시트지,아이방시트지,17.112968120270008,1.2278345435897444,21.27582315258583,-0.1395544339622642,17.655462927262384,0.20537410028806152,16.963591801418335,-0.07827847084762382,2023-07-13,
50003696,가구/인테리어,DIY자재/용품,시트지,유리용시트지,17.90770777669534,-1.5139442256410254,14.884627951051906,0.17970124605139645,11.076357401954962,0.0738490994345463,9.715660336816617,0.062164431271830495,2023-07-13,
50003329,가구/인테리어,DIY자재/용품,시트지,타일시트지,17.725986432563072,-1.4659335931623922,13.84781425176182,0.12482229275164383,10.555377242308648,-0.00360185772964898,9.270507949211567,-0.010094630209732832,2023-07-13,
50003692,가구/인테리어,DIY자재/용품,시트지,포인트시트지,26.00019722063246,-2.866481839316239,20.750816108945443,-0.1651332707248357,15.50714734544213,0.06076987474661279,13.190589657564788,0.03676123481531815,2023-07-13,
50001067,가구/인테리어,DIY자재/용품,접착제/보수용품,,20.627060369249634,-1.5980653914529905,17.325813611610158,0.31593367711090276,13.638755614996379,0.19084174607916365,11.637111159874468,0.1105518353590113,2023-07-13,
50007146,가구/인테리어,DIY자재/용품,타일,도기질타일,12.794059085648836,-0.6626522427350414,12.463101534632983,-0.26959437889524407,11.79479299745777,-0.27814453355382485,11.334891801244813,-0.1458870442698867,2023-07-13,
50003322,가구/인테리어,DIY자재/용품,타일,스텐타일,14.415516920005365,-1.2507123213675193,16.308441917542968,-0.8471424946640481,23.856920947665184,-0.7289764174757283,25.572438670153637,-0.46959665118300625,2023-07-13,
50003684,가구/인테리어,DIY자재/용품,타일,아트타일,12.541528886351086,-0.8823067623931611,13.411179243881206,-0.6267872056689142,20.32469187042809,-0.6380878649845294,19.65547435104629,-0.38482000036351605,2023-07-13,
50003685,가구/인테리어,DIY자재/용품,타일,우드타일,15.160002369122122,-1.3211691726495727,11.959892863085281,-0.3068627277384097,18.870514976045524,-0.5492153968313234,24.609182265967636,-0.49944671067313634,2023-07-13,
50003686,가구/인테리어,DIY자재/용품,타일,유리타일,18.1282643649509,-0.7554964205128195,16.45959662464444,0.014672182617604751,13.438075437533092,0.00647958439133689,12.7610912545661,0.06245543741998706,2023-07-13,
50003687,가구/인테리어,DIY자재/용품,타일,자기질타일,16.39883561982755,-1.23370406153846,13.398136213741543,0.1479243767608644,10.649281968908832,-0.10370676645684387,12.201096141015297,-0.16969635937475303,2023-07-13,
50003688,가구/인테리어,DIY자재/용품,타일,접착식타일,29.31270477226757,-3.33516987008547,23.96747970291254,0.2621558477759759,18.632545788752964,0.2511707724847968,15.86753956264268,0.1541395943323166,2023-07-13,
50003689,가구/인테리어,DIY자재/용품,타일,카페트타일,28.810556792611035,-3.0951453230769235,21.860047098726508,0.033213689490310255,17.819955574359177,0.2741266598741065,15.945913160951289,0.20042478791231375,2023-07-13,
50001063,가구/인테리어,DIY자재/용품,파벽돌,,24.811037331812322,-2.4197903555555547,20.29891246356857,0.2872702339281144,15.80192171043524,0.22895384828763476,13.197761732990209,0.11311318556684738,2023-07-13,
50001065,가구/인테리어,DIY자재/용품,패널,,18.349716768802224,-1.2293110358974346,16.32394765611755,0.3828090557500216,12.152917906291808,0.1233910626800386,10.325256284153403,0.01800786295459214,2023-07-13,
50001310,가구/인테리어,거실가구,TV거실장,,32.86747897279664,-3.778921736752137,24.44161072196542,-0.3507121015111413,19.2128849322947,0.20643093299903986,17.234557026645565,0.1847054676708128,2023-07-13,
50003242,가구/인테리어,거실가구,소파,가죽소파,24.595102099391923,-2.6278250256410254,18.69814919320125,-0.06528940023905039,14.012517845521856,0.06810901477648583,11.873674846109846,0.036243075532234374,2023-07-13,
50003245,가구/인테리어,거실가구,소파,리클라이너소파,27.089775431983664,-2.93488611965812,21.56894167752655,0.0018209523606255093,15.850284579220403,0.1060734260642271,13.444770739370764,0.061689091827219336,2023-07-13,
50003248,가구/인테리어,거실가구,소파,벤치소파,11.070882997324016,-0.9823820273504271,15.307651422605812,-0.8507732984717835,19.477292087442297,-0.6104808200149361,18.928622370929467,-0.4041598618482402,2023-07-13,
50003250,가구/인테리어,거실가구,소파,빈백,31.64782388786409,-3.4256510666666666,23.07093751648476,-0.18275696149577364,18.441644874234946,0.22827796815320606,15.692913158926931,0.14234312552354164,2023-07-13,
50003247,가구/인테리어,거실가구,소파,소파베드,25.53562553026086,-1.9852841264957255,19.683037235103573,0.1783989840348334,14.26642125386088,0.02319852491198137,11.925778452831931,-0.009702962810766547,2023-07-13,
50003249,가구/인테리어,거실가구,소파,수납소파,16.063786863164115,-1.554823312820512,12.646839112603924,0.043423791513703305,12.04148463574235,-0.1939866783847219,15.8871821978856,-0.26683640837034317,2023-07-13,
50003243,가구/인테리어,거실가구,소파,인조가죽소파,25.55264933882514,-2.0242824512820508,20.121513618717362,0.2358615905404254,15.590254869949883,-0.13781870233649823,14.872386329432775,-0.16441723127499175,2023-07-13,
50003246,가구/인테리어,거실가구,소파,좌식소파,18.5695795618527,-1.5672600752136745,13.644095910383149,-0.15456775804661443,18.51195182059876,-0.46741929472954197,17.560495566260396,-0.3189741493733308,2023-07-13,
50003246,가구/인테리어,거실가구,소파,흙/돌소파,18.5695795618527,-1.5672600752136745,13.644095910383149,-0.15456775804661443,18.51195182059876,-0.46741929472954197,17.560495566260396,-0.3189741493733308,2023-07-13,
