brand,category1,category2,category3,category4
코스나인,화장품/미용,스킨케어,톤업크림,
바디닥터,생활/건강,안마용품,렌탈안마의자,
코스나인,화장품/미용,스킨케어,톤업크림,
바디닥터,생활/건강,안마용품,렌탈안마의자,
라비오뜨,화장품/미용,스킨케어,톤업크림,
나투젠,화장품/미용,스킨케어,톤업크림,
캠퍼스블라썸,화장품/미용,스킨케어,톤업크림,
이레프,화장품/미용,스킨케어,톤업크림,
수블랑,화장품/미용,스킨케어,톤업크림,
코이바나,화장품/미용,스킨케어,톤업크림,
마린팜,화장품/미용,스킨케어,톤업크림,
리쏠,디지털/가전,계절가전,히터,가스히터
나스논,생활/건강,공구,수작업공구,
BOM,화장품/미용,베이스메이크업,파운데이션,
코스나인,화장품/미용,스킨케어,톤업크림,
도해,생활/건강,주방용품,식기,
라비오뜨,화장품/미용,스킨케어,톤업크림,
바디닥터,생활/건강,안마용품,렌탈안마의자,
나투젠,화장품/미용,스킨케어,톤업크림,
캠퍼스블라썸,화장품/미용,스킨케어,톤업크림,
이레프,화장품/미용,스킨케어,톤업크림,
수블랑,화장품/미용,스킨케어,톤업크림,
티썸,식품,음료,전통/차음료,기타전통/차음료
브랙티,화장품/미용,스킨케어,톤업크림,
코이바나,화장품/미용,스킨케어,톤업크림,
마린팜,화장품/미용,스킨케어,톤업크림,
리쏠,디지털/가전,계절가전,히터,가스히터
나스논,생활/건강,공구,수작업공구,
