brand,maker,keyword,category1,category2,category3,category4,analyze_date
스파지오,스파지오,가구,가구/인테리어,거실가구,소파,패브릭소파,2023-05-10
브리엔츠가구,브리엔츠가구,가구,가구/인테리어,거실가구,소파,패브릭소파,2023-05-10
우아미,우아미,가구,가구/인테리어,거실가구,소파,패브릭소파,2023-05-10
클렙튼,클렙튼,가구,가구/인테리어,거실가구,소파,리클라이너소파,2023-05-10
데스커,일룸,가구,가구/인테리어,서재/사무용가구,책상,컴퓨터책상,2023-05-10
라로퍼니처,라로퍼니처,가구,가구/인테리어,주방가구,식탁/의자,식탁의자,2023-05-10
잠스쿨,휴먼링스,가구,가구/인테리어,침실가구,매트리스,싱글매트리스,2023-05-10
동서가구,동서카살라,가구,가구/인테리어,주방가구,식탁/의자,식탁세트,2023-05-10
아씨방,유림하이텍,가구,가구/인테리어,서재/사무용가구,책장,,2023-05-10
에보니아,에보니아,가구,가구/인테리어,거실가구,소파,소파베드,2023-05-10
라레스가구,라레스가구,가구,가구/인테리어,침실가구,서랍장,,2023-05-10
왕자행거,왕자행거,가구,가구/인테리어,수납가구,행거,,2023-05-10
까사채움,,가구,가구/인테리어,거실가구,TV거실장,,2023-05-10
상일리베가구,엠케이,가구,가구/인테리어,침실가구,침대,싱글침대,2023-05-10
헤이미쉬홈,헤이미쉬홈,가구,가구/인테리어,거실가구,소파,패브릭소파,2023-05-10
더식스,더갤러리,가구,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,2023-05-10
체어스코,체어스코,가구,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,2023-05-10
장인가구,장인가구,가구,가구/인테리어,주방가구,식탁/의자,식탁세트,2023-05-10
오스본가구,,가구,가구/인테리어,거실가구,소파,가죽소파,2023-05-10
삼익가구,삼익가구,가구,가구/인테리어,거실가구,소파,패브릭소파,2023-05-10
폴인퍼니,폴인퍼니,가구,가구/인테리어,주방가구,식탁/의자,식탁테이블,2023-05-10
에이스침대,에이스침대,가구,가구/인테리어,침실가구,침대,슈퍼싱글침대,2023-05-10
한샘,한샘,가구,가구/인테리어,거실가구,소파,패브릭소파,2023-05-10
린백,린백,가구,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,2023-05-10
누보레,MST,가구,가구/인테리어,침실가구,매트리스,싱글매트리스,2023-05-10
노르웨이숲,노르웨이숲,가구,가구/인테리어,침실가구,침대,침대프레임,2023-05-10
지엔디스플레이,,가구,가구/인테리어,수납가구,행거,,2023-05-10
이투스베딩,신세기,가구,가구/인테리어,침실가구,침대,침대프레임,2023-05-10
보니애가구,보니애가구,가구,가구/인테리어,주방가구,식탁/의자,식탁세트,2023-05-10
이케아,이케아,가구,가구/인테리어,수납가구,행거,,2023-05-10
소닉슬립,우성바이오텍,가구,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,2023-05-10
바네스데코,바네스데코,가구,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,2023-05-10
일루일루,일루일루,가구,가구/인테리어,서재/사무용가구,의자,목받침의자,2023-05-10
보루네오,,가구,가구/인테리어,침실가구,장롱/붙박이장,드레스룸,2023-05-10
에이비퍼니쳐,에이비퍼니쳐,가구,가구/인테리어,서재/사무용가구,의자,인테리어의자,2023-05-10
라움에스알,라움에스알,가구,가구/인테리어,주방가구,식탁/의자,식탁테이블,2023-05-10
에이픽스,에이픽스,가구,가구/인테리어,서재/사무용가구,책상,컴퓨터책상,2023-05-10
체어렉스,,가구,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,2023-05-10
시디즈,시디즈,가구,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,2023-05-10
허먼밀러,,가구,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,2023-05-10
제닉스,제닉스,가구,가구/인테리어,서재/사무용가구,책상,컴퓨터책상,2023-05-10
리자인가구,리자인가구,가구,가구/인테리어,침실가구,침대,침대프레임,2023-05-10
퀵슬립지큐브,퀵슬립,가구,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,2023-05-10
바로크가구,,가구,가구/인테리어,주방가구,식탁/의자,식탁테이블,2023-05-10
마켓비,마켓비,가구,가구/인테리어,수납가구,수납장,,2023-05-10
RM디자인,,가구,가구/인테리어,서재/사무용가구,의자,목받침의자,2023-05-10
스스디,,가구,가구/인테리어,주방가구,주방수납장,,2023-05-10
퍼스퍼,퍼스퍼,가구,가구/인테리어,서재/사무용가구,사무/교구용가구,사무용의자,2023-05-10
엘리에셀,넥스퍼니처,가구,가구/인테리어,거실가구,TV거실장,,2023-05-10
레이디가구,,가구,가구/인테리어,침실가구,장롱/붙박이장,붙박이장,2023-05-10
베네스트,아이가구,가구,가구/인테리어,거실가구,소파,소파베드,2023-05-10
이룸홈,이룸홈,가구,가구/인테리어,거실가구,테이블,거실테이블,2023-05-10
라자가구,라자가구,가구,가구/인테리어,침실가구,침대,침대프레임,2023-05-10
YLB퍼니처,YLB퍼니처,가구,가구/인테리어,침실가구,화장대,일반화장대,2023-05-10
이노센트,이노센트,가구,가구/인테리어,침실가구,침대,슈퍼싱글침대,2023-05-10
바로방가구,바로방가구,가구,가구/인테리어,주방가구,레인지대,,2023-05-10
우드레이,,인테리어,가구/인테리어,인테리어소품,인테리어파티션,,2023-05-10
LX하우시스,LX하우시스,인테리어,가구/인테리어,DIY자재/용품,시트지,단색시트지,2023-05-10
자르,자르,인테리어,가구/인테리어,카페트/러그,발매트,,2023-05-10
에덴,에덴,인테리어,가구/인테리어,DIY자재/용품,목재,,2023-05-10
갤러리츠,그리츠,인테리어,가구/인테리어,인테리어소품,액자,퍼즐/그림/사진액자,2023-05-10
판다스틱,판다스틱,인테리어,가구/인테리어,인테리어소품,액자,퍼즐/그림/사진액자,2023-05-10
프레임아트,프레임아트,인테리어,가구/인테리어,인테리어소품,액자,퍼즐/그림/사진액자,2023-05-10
라운드라운드,,인테리어,가구/인테리어,인테리어소품,인테리어파티션,,2023-05-10
이즈휴,데이홈,인테리어,가구/인테리어,인테리어소품,조명,인테리어조명,2023-05-10
천일카페트,천일카페트,인테리어,가구/인테리어,DIY자재/용품,타일,카페트타일,2023-05-10
리츠센,,인테리어,가구/인테리어,인테리어소품,액자,퍼즐/그림/사진액자,2023-05-10
퀸하우징,,인테리어,가구/인테리어,DIY자재/용품,시트지,단색시트지,2023-05-10
레벤데코,레벤데코,인테리어,가구/인테리어,인테리어소품,시계,벽시계,2023-05-10
LUAZ,,인테리어,가구/인테리어,인테리어소품,시계,벽시계,2023-05-10
디자인누비,디자인누비,인테리어,가구/인테리어,커튼/블라인드,커튼,거실용커튼,2023-05-10
미즌하임,미즌하임,인테리어,가구/인테리어,인테리어소품,인테리어파티션,,2023-05-10
살림백서,,인테리어,가구/인테리어,인테리어소품,아로마/캔들용품,아로마방향제/디퓨저,2023-05-10
몬타디자인,,인테리어,가구/인테리어,침실가구,장롱/붙박이장,드레스룸,2023-05-10
현대엘앤씨,현대엘앤씨,인테리어,가구/인테리어,DIY자재/용품,시트지,단색시트지,2023-05-10
텍미홈,에스엠코프,인테리어,가구/인테리어,인테리어소품,인테리어파티션,,2023-05-10
타공판닷컴,타공판닷컴,인테리어,가구/인테리어,인테리어소품,인테리어파티션,,2023-05-10
