brand,data_type,date,value
인터미션,쇼핑인사이트_카테고리_검색,2021-08-09,0.54644
인터미션,쇼핑인사이트_카테고리_검색,2021-08-16,0.0
인터미션,쇼핑인사이트_카테고리_검색,2021-08-23,1.91256
인터미션,쇼핑인사이트_카테고리_검색,2021-08-30,0.0
인터미션,쇼핑인사이트_카테고리_검색,2021-09-06,0.27322
인터미션,쇼핑인사이트_카테고리_검색,2021-09-13,0.0
인터미션,쇼핑인사이트_카테고리_검색,2021-09-20,0.0
인터미션,쇼핑인사이트_카테고리_검색,2021-09-27,0.54644
인터미션,쇼핑인사이트_카테고리_검색,2021-10-04,0.0
인터미션,쇼핑인사이트_카테고리_검색,2021-10-11,0.0
인터미션,쇼핑인사이트_카테고리_검색,2021-10-18,0.0
인터미션,쇼핑인사이트_카테고리_검색,2021-10-25,0.54644
인터미션,쇼핑인사이트_카테고리_검색,2021-11-01,1.09289
인터미션,쇼핑인사이트_카테고리_검색,2021-11-08,0.54644
인터미션,쇼핑인사이트_카테고리_검색,2021-11-15,1.09289
인터미션,쇼핑인사이트_카테고리_검색,2021-11-22,1.91256
인터미션,쇼핑인사이트_카테고리_검색,2021-11-29,3.55191
인터미션,쇼핑인사이트_카테고리_검색,2021-12-06,11.4754
인터미션,쇼핑인사이트_카테고리_검색,2021-12-13,16.93989
인터미션,쇼핑인사이트_카테고리_검색,2021-12-20,20.76502
인터미션,쇼핑인사이트_카테고리_검색,2021-12-27,34.153
인터미션,쇼핑인사이트_카테고리_검색,2022-01-03,21.85792
인터미션,쇼핑인사이트_카테고리_검색,2022-01-10,20.21857
인터미션,쇼핑인사이트_카테고리_검색,2022-01-17,16.93989
인터미션,쇼핑인사이트_카테고리_검색,2022-01-24,18.03278
인터미션,쇼핑인사이트_카테고리_검색,2022-01-31,21.85792
인터미션,쇼핑인사이트_카테고리_검색,2022-02-07,20.76502
인터미션,쇼핑인사이트_카테고리_검색,2022-02-14,25.40983
인터미션,쇼핑인사이트_카테고리_검색,2022-02-21,25.40983
인터미션,쇼핑인사이트_카테고리_검색,2022-02-28,24.59016
인터미션,쇼핑인사이트_카테고리_검색,2022-03-07,25.40983
인터미션,쇼핑인사이트_카테고리_검색,2022-03-14,16.39344
인터미션,쇼핑인사이트_카테고리_검색,2022-03-21,100.0
인터미션,쇼핑인사이트_카테고리_검색,2022-03-28,50.0
인터미션,쇼핑인사이트_카테고리_검색,2022-04-04,51.91256
인터미션,쇼핑인사이트_카테고리_검색,2022-04-11,45.90163
인터미션,쇼핑인사이트_카테고리_검색,2022-04-18,50.27322
인터미션,쇼핑인사이트_카테고리_검색,2022-04-25,44.26229
인터미션,쇼핑인사이트_카테고리_검색,2022-05-02,43.16939
인터미션,쇼핑인사이트_카테고리_검색,2022-05-09,36.06557
인터미션,쇼핑인사이트_카테고리_검색,2022-05-16,42.34972
인터미션,쇼핑인사이트_카테고리_검색,2022-05-23,33.60655
인터미션,쇼핑인사이트_카테고리_검색,2022-05-30,45.08196
인터미션,쇼핑인사이트_카테고리_검색,2022-06-06,43.71584
인터미션,쇼핑인사이트_카테고리_검색,2022-06-13,33.87978
인터미션,쇼핑인사이트_카테고리_검색,2022-06-20,21.03825
인터미션,쇼핑인사이트_카테고리_검색,2022-06-27,31.42076
인터미션,쇼핑인사이트_카테고리_검색,2022-07-04,30.32786
인터미션,쇼핑인사이트_카테고리_검색,2022-07-11,18.30601
인터미션,쇼핑인사이트_카테고리_검색,2022-07-18,24.59016
인터미션,쇼핑인사이트_카테고리_검색,2022-07-25,30.32786
인터미션,쇼핑인사이트_카테고리_검색,2022-08-01,30.87431
인터미션,쇼핑인사이트_카테고리_검색,2022-08-08,31.42076
인터미션,쇼핑인사이트_카테고리_검색,2022-08-15,32.78688
인터미션,쇼핑인사이트_카테고리_검색,2022-08-22,45.90163
인터미션,쇼핑인사이트_카테고리_검색,2022-08-29,54.37158
인터미션,쇼핑인사이트_카테고리_검색,2022-09-05,45.90163
인터미션,쇼핑인사이트_카테고리_검색,2022-09-12,31.96721
인터미션,쇼핑인사이트_카테고리_검색,2022-09-19,22.13114
인터미션,쇼핑인사이트_카테고리_검색,2022-09-26,31.42076
인터미션,쇼핑인사이트_카테고리_검색,2022-10-03,19.94535
인터미션,쇼핑인사이트_카테고리_검색,2022-10-10,27.04918
인터미션,쇼핑인사이트_카테고리_검색,2022-10-17,26.77595
인터미션,쇼핑인사이트_카테고리_검색,2022-10-24,5.46448
인터미션,쇼핑인사이트_카테고리_검색,2022-10-31,18.85245
인터미션,쇼핑인사이트_카테고리_검색,2022-11-07,6.28415
인터미션,쇼핑인사이트_카테고리_검색,2022-11-14,11.4754
인터미션,쇼핑인사이트_카테고리_검색,2022-11-21,7.37704
인터미션,쇼핑인사이트_카테고리_검색,2022-11-28,4.91803
인터미션,쇼핑인사이트_카테고리_검색,2022-12-05,10.65573
인터미션,쇼핑인사이트_카테고리_검색,2022-12-12,5.46448
인터미션,쇼핑인사이트_카테고리_검색,2022-12-19,13.11475
인터미션,쇼핑인사이트_카테고리_검색,2022-12-26,16.39344
인터미션,쇼핑인사이트_카테고리_검색,2023-01-02,16.12021
인터미션,쇼핑인사이트_카테고리_검색,2023-01-09,22.95081
인터미션,쇼핑인사이트_카테고리_검색,2023-01-16,11.20218
인터미션,쇼핑인사이트_카테고리_검색,2023-01-23,15.57377
인터미션,쇼핑인사이트_카테고리_검색,2023-01-30,6.55737
인터미션,쇼핑인사이트_카테고리_검색,2023-02-06,6.55737
인터미션,쇼핑인사이트_카테고리_검색,2023-02-13,9.83606
인터미션,쇼핑인사이트_카테고리_검색,2023-02-20,15.30054
인터미션,쇼핑인사이트_카테고리_검색,2023-02-27,10.92896
인터미션,쇼핑인사이트_카테고리_검색,2023-03-06,7.92349
인터미션,쇼핑인사이트_카테고리_검색,2023-03-13,11.20218
